year,state,value
2016,NE,14.7
1999,NE,9.9
2000,IA,7.6
2001,IA,7.6
2002,IA,10.2
2003,IA,10.2
2004,IA,10.2
2005,IA,11.7
2006,IA,11.7
2007,IA,11.7
2008,IA,12.1
2009,IA,12.1
2010,IA,12.1
2011,IA,11.9
2012,IA,11.9
2013,IA,11.9
2014,IA,10.7
2015,IA,10.7
2016,IA,10.7
1999,IA,7.6
2000,VT,9.1
2001,VT,9.1
2002,VT,9.0
2003,VT,9.0
2004,VT,9.0
2005,VT,10.2
2006,VT,10.2
2007,VT,10.2
2008,VT,13.8
2009,VT,13.8
2010,VT,13.8
2011,VT,13.2
2012,VT,13.2
2013,VT,13.2
2014,VT,10.1
2015,VT,10.1
2016,VT,10.1
1999,VT,9.1
2000,WA,12.5
2001,WA,12.5
2002,WA,12.0
2003,WA,12.0
2004,WA,12.0
2005,WA,10.1
2006,WA,10.1
2007,WA,10.1
2008,WA,14.7
2009,WA,14.7
2010,WA,14.7
2011,WA,14.3
2012,WA,14.3
2013,WA,14.3
2014,WA,11.6
2015,WA,11.6
2016,WA,11.6
1999,WA,12.5
